a,mass ratio,eccentricity,impactor,b,status
very wide,equal mass,0,250.0,2.0,disrupted
wide,equal mass,0,150.0,3.0,swapped
tight,3x mass,0,150.0,3.0,swapped
very wide,3x mass,0,30.0,8.0,bound
wide,equal mass,0,30.0,6.4,bound
very wide,10x mass,0,150.0,3.0,swapped
wide,equal mass,0,250.0,2.4,bound
tight,equal mass,0.4,130.0,1.0,bound
tight,equal mass,0.4,270.0,3.0,swapped
wide,equal mass,0,220.0,5.2,bound
wide,equal mass,0,210.0,5.6,bound
tight,3x mass,0,90.0,1.0,bound
wide,equal mass,0,160.0,3.4,swapped
very wide,equal mass,0,10.0,6.0,bound
wide,10x mass,0,30.0,2.0,bound
very wide,equal mass,0,30.0,5.0,bound
wide,equal mass,0,180.0,3.0,swapped
wide,equal mass,0,180.0,2.2,swapped
very wide,equal mass,0.4,50.0,8.0,bound
very wide,3x mass,0,70.0,1.0,disrupted
wide,equal mass,0,210.0,5.8,bound
very wide,3x mass,0,190.0,5.0,bound
wide,equal mass,0,290.0,7.2,bound
tight,equal mass,0,30.0,8.0,bound
very wide,3x mass,0,90.0,4.0,bound
wide,equal mass,0,290.0,1.6,swapped
tight,equal mass,0.2,290.0,7.0,bound
wide,equal mass,0,60.0,6.2,bound
wide,equal mass,0,210.0,3.0,collision
very wide,equal mass,0,150.0,4.0,bound
very wide,equal mass,0.4,250.0,5.0,swapped
wide,equal mass,0,120.0,7.2,bound
very wide,3x mass,0,210.0,2.0,disrupted
wide,equal mass,0,10.0,8.0,bound
wide,equal mass,0,20.0,7.0,bound
wide,equal mass,0,260.0,7.8,bound
wide,equal mass,0,10.0,7.2,bound
tight,10x mass,0,230.0,2.0,bound
wide,equal mass,0,250.0,5.0,swapped
very wide,equal mass,0.4,290.0,2.0,disrupted
very wide,equal mass,0.2,30.0,3.0,bound
wide,equal mass,0,10.0,4.0,bound
tight,equal mass,0,190.0,8.0,bound
wide,equal mass,0,110.0,7.0,bound
very wide,3x mass,0,190.0,2.0,disrupted
wide,equal mass,0,220.0,6.2,bound
wide,equal mass,0,270.0,2.8,bound
wide,equal mass,0,390.0,6.2,collision
wide,equal mass,0,210.0,4.0,swapped
wide,equal mass,0,350.0,3.6,bound
very wide,10x mass,0,190.0,8.0,bound
wide,equal mass,0,270.0,1.8,swapped
